survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
468,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-04-19,2017-04-09,2017-04-17,7549,7,AfD,Alternative für Deutschland,9.5,DAWUM
469,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-04-20,2017-04-13,2017-04-18,1056,7,AfD,Alternative für Deutschland,10.0,DAWUM
471,0,Bundestag,Bundestag,Infratest dimap,ARD-Morgenmagazin,Unbekannt,2017-04-21,2017-04-18,2017-04-19,934,7,AfD,Alternative für Deutschland,10.0,DAWUM
473,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-04-23,2017-04-13,2017-04-19,1412,7,AfD,Alternative für Deutschland,9.0,DAWUM
475,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-04-25,2017-04-21,2017-04-24,2041,7,AfD,Alternative für Deutschland,10.0,DAWUM
477,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-04-25,2017-04-19,2017-04-25,7557,7,AfD,Alternative für Deutschland,9.2,DAWUM
478,0,Bundestag,Bundestag,Allensbach,Frankfurter Allgemeine Zeitung,Unbekannt,2017-04-25,2017-04-01,2017-04-13,1407,7,AfD,Alternative für Deutschland,7.0,DAWUM
479,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-04-26,2017-04-18,2017-04-21,2002,7,AfD,Alternative für Deutschland,9.0,DAWUM
482,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-04-28,2017-04-25,2017-04-27,1328,7,AfD,Alternative für Deutschland,8.0,DAWUM
485,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-04-30,2017-04-20,2017-04-26,2439,7,AfD,Alternative für Deutschland,9.0,DAWUM
486,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-05-02,2017-04-25,2017-05-02,7566,7,AfD,Alternative für Deutschland,8.9,DAWUM
487,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-05-02,2017-04-28,2017-05-02,2035,7,AfD,Alternative für Deutschland,9.0,DAWUM
488,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-05-03,2017-04-24,2017-04-28,2502,7,AfD,Alternative für Deutschland,8.0,DAWUM
490,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-05-04,2017-04-28,2017-05-02,1059,7,AfD,Alternative für Deutschland,9.0,DAWUM
491,0,Bundestag,Bundestag,GMS,GMS,Unbekannt,2017-05-04,2017-04-30,2017-05-03,1004,7,AfD,Alternative für Deutschland,9.0,DAWUM
496,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-05-07,2017-04-27,2017-05-03,1935,7,AfD,Alternative für Deutschland,9.0,DAWUM
497,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-05-09,2017-05-05,2017-05-08,2067,7,AfD,Alternative für Deutschland,10.0,DAWUM
