article_id,date,year_month,month_dt,year,month_num,publication,publication_normalized,word_count,body_char_count,word_count_used,corpus_type,corpus_name,batch_id,source_archive,migration_terms_count,migration_terms_per_1000_words,has_migration_terms,security_terms_count,security_terms_per_1000_words,has_security_terms,afd_far_right_terms_count,afd_far_right_terms_per_1000_words,has_afd_far_right_terms,remigration_democracy_terms_count,remigration_democracy_terms_per_1000_words,has_remigration_democracy_terms,negative_threat_terms_count,negative_threat_terms_per_1000_words,has_negative_threat_terms,security_share_of_migration_context,afd_mentions_binary,remigration_democracy_binary,negative_threat_intensity
e1f161e0009ee5036a84e8df8df0db516363c614,2013-01-12,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,1368,9259,1368,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,5,3.654970760233918,1,1,0.7309941520467836,1,0,0.0,0,0,0.0,0,12,8.771929824561404,1,0.2,0,0,8.771929824561404
e4abc7d5111ea81e2a6dca3afcb7ad763cfcad32,2013-01-03,2013-01,2013-01-01,2013,1,Rheinische Post,rheinische post,585,4207,585,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,13,22.22222222222222,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1.7094017094017093,1,0.0,0,0,1.7094017094017093
e690dbe13a3b32c9b71bfea47a0e0816c0383a21,2013-01-10,2013-01,2013-01-01,2013,1,Die Welt,die welt,315,2333,315,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2,6.349206349206349,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
fb6110283c73c39baeddf7d22b606c7f74994575,2013-01-11,2013-01,2013-01-01,2013,1,Berliner Zeitung,berliner zeitung,697,4645,697,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,1,1.4347202295552368,1,1,1.4347202295552368,1,0,0.0,0,2,2.8694404591104736,1,6,8.60832137733142,1,1.0,0,1,8.60832137733142
07f5691ffd6ff7a38cb3b2c62c1b38248b46dc1b,2013-02-23,2013-02,2013-02-01,2013,2,Rheinische Post,rheinische post,571,4027,571,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,2,3.502626970227671,1,0,0.0,0,1,1.7513134851138354,1,0,0.0,0,6,10.507880910683012,1,0.0,1,0,10.507880910683012
131e00a88911cafc1ab52cced14340a5c618a1c2,2013-02-13,2013-02,2013-02-01,2013,2,Die Welt,die welt,584,4142,584,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,1,1.7123287671232876,1,0,0.0,0,0,0.0,0,0,0.0,0,4,6.8493150684931505,1,0.0,0,0,6.8493150684931505
1c88b42e9d02791af17d263c1c9f55ee2e073081,2013-02-20,2013-02,2013-02-01,2013,2,"taz, die tageszeitung",taz die tageszeitung,701,4931,701,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,13,18.54493580599144,1,3,4.279600570613409,1,0,0.0,0,0,0.0,0,2,2.8530670470756063,1,0.23076923076923078,0,0,2.8530670470756063
1d3411d6dfa1d6202f59d1007a11334138c22cfc,2013-02-04,2013-02,2013-02-01,2013,2,"taz, die tageszeitung",taz die tageszeitung,559,4058,559,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,12,21.46690518783542,1,6,10.73345259391771,1,0,0.0,0,0,0.0,0,3,5.366726296958855,1,0.5,0,0,5.366726296958855
1dbee49b8cdfc376f731ceed37baa686378e1272,2013-02-05,2013-02,2013-02-01,2013,2,Die Welt,die welt,754,5918,754,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,22,29.177718832891248,1,0,0.0,0,0,0.0,0,0,0.0,0,2,2.6525198938992043,1,0.0,0,0,2.6525198938992043
1feca7b8a96af13b1966d5676bf6c73b2d1ed5d3,2013-02-05,2013-02,2013-02-01,2013,2,Berliner Zeitung,berliner zeitung,257,1845,257,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,3,11.673151750972762,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
24d6422603b1a15d616b4c0ad64a48a8c592aaf4,2013-02-27,2013-02,2013-02-01,2013,2,"taz, die tageszeitung",taz die tageszeitung,273,1904,273,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,6,21.978021978021978,1,3,10.989010989010989,1,1,3.663003663003663,1,0,0.0,0,1,3.663003663003663,1,0.5,1,0,3.663003663003663
2b5320000e73a33b1c0228b921fefe8e4ad78fa7,2013-02-05,2013-02,2013-02-01,2013,2,Frankfurter Rundschau,frankfurter rundschau,344,2499,344,main_monthly,Main Corpus,2013-02,2013-02(55).ZIP,5,14.534883720930232,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
