month,year_month,month_dt,year,month_num,text_indicator_month_has_articles,n_articles_text_indicators,mean_word_count,median_word_count,total_word_count,migration_terms_per_1000_mean,migration_terms_total,share_articles_with_migration_terms,security_terms_per_1000_mean,security_terms_total,share_articles_with_security_terms,afd_far_right_terms_per_1000_mean,afd_far_right_terms_total,share_articles_with_afd_far_right_terms,remigration_democracy_terms_per_1000_mean,remigration_democracy_terms_total,share_articles_with_remigration_democracy_terms,negative_threat_terms_per_1000_mean,negative_threat_terms_total,share_articles_with_negative_threat_terms,security_share_of_migration_context_mean,migration_terms_per_1000_median,security_terms_per_1000_median,afd_far_right_terms_per_1000_median,remigration_democracy_terms_per_1000_median,negative_threat_terms_per_1000_median
2015-01,2015-01,2015-01-01,2015,1,True,47,610.9787234042553,540.0,28716,34.890442846797846,963,1.0,1.768575485826665,52,0.44680851063829785,2.045322040159079,69,0.2553191489361702,0.4596961931687735,10,0.19148936170212766,3.204226015301363,89,0.7872340425531915,0.06900119933813101,32.68945022288261,0.0,0.0,0.0,2.719238613188307
2015-02,2015-02,2015-02-01,2015,2,True,46,670.6521739130435,537.0,30850,32.12813238862186,904,1.0,2.039902901942605,84,0.5,0.5801346279300333,21,0.17391304347826086,0.14334452008160847,3,0.06521739130434782,3.653440234013638,111,0.8260869565217391,0.10287576068119136,32.02993252703414,0.3238341968911917,0.0,0.0,3.337917239654957
2015-03,2015-03,2015-03-01,2015,3,True,48,661.75,514.5,31764,32.79050488523172,983,1.0,2.666597357826705,75,0.5208333333333334,0.9126201464707658,22,0.14583333333333334,0.30414916629405303,9,0.14583333333333334,2.9824073613887943,103,0.625,0.09918263987637682,32.73959646910467,0.7043696479977603,0.0,0.0,2.1823887409661467
2015-04,2015-04,2015-04-01,2015,4,True,45,543.8444444444444,482.0,24473,38.58649649763382,899,1.0,2.418697534835777,56,0.4,1.7240143984899148,37,0.28888888888888886,0.2558461586482086,6,0.13333333333333333,3.689222788341606,97,0.6222222222222222,0.08532461695569041,36.94581280788177,0.0,0.0,0.0,2.5477707006369426
2015-05,2015-05,2015-05-01,2015,5,True,83,548.566265060241,431.0,45531,33.28279020792117,1459,1.0,1.6042609379839614,74,0.3253012048192771,0.4883157302151754,24,0.1686746987951807,0.09203591021835943,6,0.04819277108433735,3.1624702370036615,154,0.6385542168674698,0.07117902519034211,31.78484107579462,0.0,0.0,0.0,2.444987775061125
2015-06,2015-06,2015-06-01,2015,6,True,84,539.8095238095239,408.0,45344,32.73361027213818,1364,1.0,1.8210191680275523,86,0.35714285714285715,0.8318742797908383,45,0.20238095238095238,0.5461232480523193,24,0.21428571428571427,3.1167313245548236,143,0.7023809523809523,0.08369088445373786,30.740024744819053,0.0,0.0,0.0,2.460475026027165
2015-07,2015-07,2015-07-01,2015,7,True,78,585.6410256410256,511.5,45680,36.74428973453413,1599,1.0,2.0190998755179916,96,0.44871794871794873,0.7740195562745197,43,0.24358974358974358,0.28760789652409435,13,0.15384615384615385,3.04578229183167,165,0.6923076923076923,0.0712812323355511,36.61873806643443,0.0,0.0,0.0,2.2702908858515265
2015-08,2015-08,2015-08-01,2015,8,True,88,679.6931818181819,558.5,59813,35.92400873753789,2013,1.0,2.9896918125650918,170,0.5681818181818182,0.6416631168687017,40,0.25,0.3800436479903577,21,0.18181818181818182,4.0790309950203145,256,0.7954545454545454,0.0893414107168903,35.563184124546424,1.1292296808637876,0.0,0.0,2.8759379855211398
2015-09,2015-09,2015-09-01,2015,9,True,86,699.6976744186046,555.0,60174,36.58263415670966,2006,1.0,3.4280236839342195,197,0.6046511627906976,0.6612892133534771,47,0.26744186046511625,0.3374811929461245,22,0.1511627906976744,3.826830136568915,276,0.7325581395348837,0.102729151116919,35.465612506176726,1.3774758040493236,0.0,0.0,2.577593537414966
2015-10,2015-10,2015-10-01,2015,10,True,85,705.964705882353,593.0,60007,34.50466239782618,1924,1.0,2.912464893298956,159,0.4823529411764706,1.0193842952292023,74,0.2235294117647059,0.27449101946648696,21,0.16470588235294117,4.300401509801054,276,0.788235294117647,0.09895448899984795,34.5489443378119,0.0,0.0,0.0,3.3003300330033003
2015-11,2015-11,2015-11-01,2015,11,True,90,666.5444444444445,555.5,59989,33.05974527494433,1814,1.0,2.812117998196643,149,0.4777777777777778,1.0753107962361639,51,0.24444444444444444,0.43007029261668506,25,0.15555555555555556,4.101325534836247,269,0.8111111111111111,0.11333034563441943,31.54976516475333,0.0,0.0,0.0,3.571474125945484
2015-12,2015-12,2015-12-01,2015,12,True,91,593.7472527472528,492.0,54031,30.541767219944827,1559,1.0,2.9232293793353286,185,0.45054945054945056,0.6683269359987113,53,0.16483516483516483,0.3989173938375338,22,0.12087912087912088,3.6763473962807525,244,0.6043956043956044,0.10871025713668328,30.434782608695652,0.0,0.0,0.0,2.1739130434782608
2016-01,2016-01,2016-01-01,2016,1,True,160,665.84375,604.5,106535,20.690985758945416,2129,0.8625,16.113944918402456,1600,0.825,1.0616179886829322,115,0.26875,0.24402731565222918,26,0.1125,5.323650417243142,581,0.84375,2.3883915367542756,16.969352239331517,13.022912394400004,0.0,0.0,4.573170731707317
2016-02,2016-02,2016-02-01,2016,2,True,85,734.0588235294117,587.0,62395,31.628856618367685,1858,1.0,3.375920495371801,162,0.5647058823529412,1.0571936735412693,64,0.2235294117647059,0.5247127750181315,39,0.11764705882352941,3.855342957835168,263,0.8,0.12373832646422843,30.555555555555557,1.0706638115631693,0.0,0.0,3.003003003003003
2016-03,2016-03,2016-03-01,2016,3,True,87,604.0689655172414,544.0,52554,32.62485238999021,1584,1.0,2.008038802188909,105,0.3563218390804598,1.2205156791331349,69,0.20689655172413793,0.8902546411760378,29,0.1724137931034483,3.3839509325716706,181,0.6781609195402298,0.06969659503162262,30.952380952380953,0.0,0.0,0.0,2.865329512893983
2016-04,2016-04,2016-04-01,2016,4,True,48,616.1041666666666,481.5,29573,38.53513683778865,1045,1.0,4.28837919220382,113,0.625,0.5872848237626315,17,0.14583333333333334,0.6008848965877576,13,0.14583333333333334,2.99596995141648,87,0.7916666666666666,0.12257521613670762,37.73589554077359,2.2027393538307773,0.0,0.0,2.8777514616493036
2016-05,2016-05,2016-05-01,2016,5,True,47,702.5531914893617,508.0,33020,29.783843403670332,908,1.0,1.1276597789822966,38,0.3617021276595745,0.9007541025692485,22,0.1276595744680851,0.6186948397642232,21,0.1702127659574468,2.4762534855950853,90,0.574468085106383,0.04302458403562227,27.86377708978328,0.0,0.0,0.0,1.697792869269949
2016-06,2016-06,2016-06-01,2016,6,True,44,572.4772727272727,458.0,25189,34.0585354339763,794,1.0,5.879610439577771,132,0.5681818181818182,1.5093850232401385,38,0.22727272727272727,0.22439809534728192,7,0.06818181818181818,3.6684250476845506,96,0.7272727272727273,0.19863562349243463,35.993436110031524,2.455492380109055,0.0,0.0,2.389489671238195
2016-07,2016-07,2016-07-01,2016,7,True,46,660.0652173913044,595.5,30363,30.536023961916527,905,1.0,3.776113570391631,112,0.5652173913043478,0.3933060699013783,12,0.10869565217391304,0.15481325716176444,5,0.08695652173913043,4.2998497394562145,133,0.7608695652173914,0.15778437220473557,29.580024229371382,1.4600977061040958,0.0,0.0,2.8492103963802076
2016-08,2016-08,2016-08-01,2016,8,True,44,612.4318181818181,523.0,26947,33.74081161467159,852,1.0,3.35163787973125,79,0.5,1.4095103852046784,34,0.20454545454545456,1.142105852790072,24,0.20454545454545456,3.4759101893694453,102,0.7954545454545454,0.10477722666910813,31.629665106579044,0.2730748225013654,0.0,0.0,2.6585302009030825
2016-09,2016-09,2016-09-01,2016,9,True,46,748.9130434782609,627.5,34450,33.94457779235552,1084,1.0,2.545911783775449,84,0.5869565217391305,1.9921141273281389,71,0.391304347826087,0.2587799812649338,11,0.15217391304347827,3.663078327448698,122,0.8478260869565217,0.10757609927539497,30.426964707541515,1.2453609142779154,0.0,0.0,3.1311778064600455
2016-10,2016-10,2016-10-01,2016,10,True,45,696.1555555555556,483.0,31327,31.27014614974747,893,1.0,5.308977624645431,128,0.5555555555555556,0.7745459386977267,29,0.2222222222222222,0.7748495048828438,26,0.2,3.072947347973852,117,0.6666666666666666,0.24634008244865097,29.209621993127147,1.1911852293031566,0.0,0.0,2.849002849002849
2016-11,2016-11,2016-11-01,2016,11,True,49,550.0408163265306,483.0,26952,33.142123928927,867,1.0,4.106156751791152,91,0.5102040816326531,1.099329244242908,29,0.24489795918367346,0.3111284795737898,8,0.12244897959183673,4.174856198957376,119,0.7959183673469388,0.14154634372792804,33.222591362126245,1.3440860215053763,0.0,0.0,2.9761904761904763
