month,year_month,month_dt,year,month_num,tone_month_has_articles,n_articles_tone_indicators,tone_positive_terms_total,tone_negative_terms_total,tone_positive_terms_per_1000_mean,tone_negative_terms_per_1000_mean,tone_net_score_per_1000_mean,tone_negative_share_mean,share_articles_negative_tone,share_articles_positive_tone,share_articles_neutral_tone
2020-09,2020-09,2020-09-01,2020,9,True,82,346,209,7.0412835511529055,3.550564393874504,3.4907191572784013,0.37306689216377353,0.25609756097560976,0.6219512195121951,0.12195121951219512
2020-10,2020-10,2020-10-01,2020,10,True,44,102,157,3.375466046346604,5.035369630688965,-1.6599035843423613,0.5651853499957216,0.5,0.29545454545454547,0.20454545454545456
2020-11,2020-11,2020-11-01,2020,11,True,45,87,148,2.5401618155432852,4.139389607943806,-1.5992277924005203,0.5529040404040404,0.4888888888888889,0.28888888888888886,0.2222222222222222
2020-12,2020-12,2020-12-01,2020,12,True,43,91,97,3.53389055608292,3.498867067807899,0.035023488275021095,0.5391377645941001,0.3953488372093023,0.3953488372093023,0.20930232558139536
2021-01,2021-01,2021-01-01,2021,1,True,43,127,158,4.028830160240304,4.684730836189476,-0.6559006759491729,0.48895815197114784,0.3953488372093023,0.4418604651162791,0.16279069767441862
2021-02,2021-02,2021-02-01,2021,2,True,39,68,105,2.5015393315007644,4.741099548552197,-2.239560217051433,0.6538054538054537,0.5897435897435898,0.28205128205128205,0.1282051282051282
2021-03,2021-03,2021-03-01,2021,3,True,44,132,137,4.148192096599505,3.6004273554455466,0.5477647411539582,0.502110532199465,0.4318181818181818,0.4090909090909091,0.1590909090909091
2021-04,2021-04,2021-04-01,2021,4,True,42,90,100,3.8927314412308496,3.2588158698476297,0.6339155713832204,0.48904878190592477,0.4523809523809524,0.42857142857142855,0.11904761904761904
2021-05,2021-05,2021-05-01,2021,5,True,41,86,154,2.8073025881001357,4.0451931862853385,-1.2378905981852029,0.6123783647532043,0.5121951219512195,0.34146341463414637,0.14634146341463414
2021-06,2021-06,2021-06-01,2021,6,True,42,93,140,3.2957204115218017,4.863236776777687,-1.5675163652558861,0.5788617171006334,0.4523809523809524,0.30952380952380953,0.23809523809523808
2021-07,2021-07,2021-07-01,2021,7,True,43,171,140,5.132739512164761,4.05416120510585,1.0785783070589108,0.4433197409146002,0.37209302325581395,0.4883720930232558,0.13953488372093023
2021-08,2021-08,2021-08-01,2021,8,True,42,86,117,3.1485993272853894,5.024795986508943,-1.8761966592235537,0.5831349206349207,0.47619047619047616,0.2619047619047619,0.2619047619047619
2021-09,2021-09,2021-09-01,2021,9,True,63,142,149,3.69011006540248,3.654192478149853,0.035917587252626886,0.5013472197996007,0.38095238095238093,0.38095238095238093,0.23809523809523808
