month_id,year,month,batch_id,raw_article_count,kept_article_count,dropped_article_count,keep_share,unique_source_count,total_word_count_kept,mean_word_count_kept,median_word_count_kept,duplicate_exact_count,duplicate_near_count,regional_variant_count,malformed_count,reader_letter_drop_count,commentary_noncore_drop_count,very_short_low_value_drop_count,source_top1,source_top1_count,source_top2,source_top2_count,source_top3,source_top3_count,freeze_status,notes,kept_share_of_raw,duplicate_burden,dropped_share,shock_month_flag,shock_window_flag_placeholder
2018-02,2018,2,2018-02,50,44,6,0.88,9,29510,670.682,567.0,1,0,3,0,0,2,0,Frankfurter Rundschau,8,Die Welt,7,Rheinische Post,7,frozen,,0.88,0.08,0.12,0,
2018-03,2018,3,2018-03,97,81,15,0.835052,10,52545,648.704,510,2,0,6,0,0,7,0,Rheinische Post,17,"taz, die tageszeitung",13,Der Tagesspiegel,11,frozen,,0.835052,0.082474,0.154639,0,
2018-04,2018,4,2018-04,95,83,10,0.873684,10,45788,551.663,488,2,0,1,0,0,7,0,Frankfurter Rundschau,16,Rheinische Post,16,Die Welt,13,frozen,,0.873684,0.031579,0.105263,0,
2018-05,2018,5,2018-05,50,44,6,0.88,10,34073,774.386,650.0,0,0,2,0,0,4,0,Die Welt,8,Der Tagesspiegel,6,Frankfurter Rundschau,6,frozen,,0.88,0.04,0.12,0,
2018-06,2018,6,2018-06,98,84,14,0.857143,10,49355,587.56,484.0,0,0,4,0,0,10,0,Der Tagesspiegel,16,"taz, die tageszeitung",15,Frankfurter Rundschau,13,frozen,,0.857143,0.040816,0.142857,0,
2018-07,2018,7,2018-07,50,45,5,0.9,8,34002,755.6,608,0,0,2,0,0,3,0,Die Welt,13,Frankfurter Rundschau,8,Berliner Zeitung,6,frozen,,0.9,0.04,0.1,0,
2018-08,2018,8,2018-08,98,82,16,0.836735,10,59556,726.293,584.0,0,0,2,0,0,14,0,Die Welt,15,Frankfurter Rundschau,15,Der Tagesspiegel,13,frozen,,0.836735,0.020408,0.163265,1,
2018-09,2018,9,2018-09,50,45,5,0.9,9,25650,570,488,1,0,1,0,0,3,0,Rheinische Post,10,Der Tagesspiegel,6,Frankfurter Rundschau,6,frozen,,0.9,0.04,0.1,0,
2018-10,2018,10,2018-10,94,64,30,0.680851,9,32504,507.875,405.5,25,0,0,0,0,5,0,Rheinische Post,17,"taz, die tageszeitung",12,Der Tagesspiegel,8,frozen,,0.680851,0.265957,0.319149,0,
2018-11,2018,11,2018-11,90,40,50,0.444444,9,30679,766.975,589.5,45,0,1,0,0,4,0,"taz, die tageszeitung",7,Rheinische Post,6,Die Welt,5,frozen,,0.444444,0.511111,0.555556,0,
2018-12,2018,12,2018-12,98,48,50,0.489796,9,26760,557.5,498.0,41,0,6,0,0,3,0,Frankfurter Rundschau,12,Rheinische Post,9,Berliner Zeitung,6,frozen,,0.489796,0.479592,0.510204,0,
2019-01,2019,1,2019-01,150,42,108,0.28,8,23142,551,407.5,103,0,3,0,0,2,0,Rheinische Post,11,Frankfurter Rundschau,7,Nordwest-Zeitung,6,frozen,,0.28,0.706667,0.72,0,
2019-02,2019,2,2019-02,95,75,20,0.789474,10,50660,675.467,537,8,0,3,0,0,9,0,Rheinische Post,12,Die Welt,11,Nordwest-Zeitung,11,frozen,,0.789474,0.115789,0.210526,0,
2019-03,2019,3,2019-03,99,76,23,0.767677,10,51360,675.789,518.0,15,0,5,0,1,2,0,Rheinische Post,18,Die Welt,13,Frankfurter Rundschau,11,frozen,,0.767677,0.20202,0.232323,0,
2019-04,2019,4,2019-04,94,78,16,0.829787,10,51826,664.436,630.0,3,0,6,0,1,6,0,Rheinische Post,15,Die Welt,12,Der Tagesspiegel,11,frozen,,0.829787,0.095745,0.170213,0,
2019-05,2019,5,2019-05,64,54,10,0.84375,9,42348,784.222,615.0,3,0,2,0,0,5,0,"taz, die tageszeitung",12,Frankfurter Rundschau,9,Rheinische Post,9,frozen,,0.84375,0.078125,0.15625,0,
2019-06,2019,6,2019-06,73,57,16,0.780822,9,36179,634.719,573,6,0,1,0,0,9,0,Rheinische Post,12,Die Welt,11,Berliner Zeitung,8,frozen,,0.780822,0.09589,0.219178,0,
2019-07,2019,7,2019-07,50,48,2,0.96,8,33678,701.625,646.0,0,0,2,0,0,0,0,Frankfurter Rundschau,14,Berliner Zeitung,9,Die Welt,9,frozen,,0.96,0.04,0.04,0,
2019-08,2019,8,2019-08,50,42,8,0.84,9,27241,648.595,567.0,4,0,3,0,0,1,0,Frankfurter Rundschau,10,Die Welt,9,Rheinische Post,7,frozen,,0.84,0.14,0.16,0,
2019-09,2019,9,2019-09,50,43,7,0.86,7,24520,570.233,473,4,0,0,0,0,3,0,Die Welt,11,Frankfurter Rundschau,9,Rheinische Post,8,frozen,,0.86,0.08,0.14,0,
2019-10,2019,10,2019-10,50,46,4,0.92,8,28079,610.413,509.5,3,0,0,0,0,1,0,Rheinische Post,13,Frankfurter Rundschau,9,Nordwest-Zeitung,9,frozen,,0.92,0.06,0.08,0,
2019-11,2019,11,2019-11,50,46,4,0.92,9,24884,540.957,525.0,1,0,1,0,0,2,0,"taz, die tageszeitung",9,Die Welt,8,Frankfurter Rundschau,8,frozen,,0.92,0.04,0.08,0,
2019-12,2019,12,2019-12,50,41,9,0.82,9,27434,669.122,606,3,0,2,0,0,4,0,Rheinische Post,11,Frankfurter Rundschau,8,Die Welt,6,frozen,,0.82,0.1,0.18,0,
2020-01,2020,1,2020-01,50,41,9,0.82,7,27559,672.171,527,5,0,0,0,0,4,0,Rheinische Post,11,Die Welt,10,Frankfurter Rundschau,9,frozen,,0.82,0.1,0.18,0,
2020-02,2020,2,2020-02,50,45,5,0.9,7,31941,709.8,600,1,0,1,0,0,3,0,"taz, die tageszeitung",10,Die Welt,9,Rheinische Post,9,frozen,,0.9,0.04,0.1,0,
2020-03,2020,3,2020-03,50,43,7,0.86,8,29835,693.837,626,6,0,1,0,0,0,0,"taz, die tageszeitung",10,Rheinische Post,8,Der Tagesspiegel,7,frozen,,0.86,0.14,0.14,0,
2020-04,2020,4,2020-04,50,45,5,0.9,10,28086,624.133,570,1,0,1,0,0,3,0,"taz, die tageszeitung",11,Frankfurter Rundschau,7,Rheinische Post,7,frozen,,0.9,0.04,0.1,0,
2020-05,2020,5,2020-05,50,44,6,0.88,9,25428,577.909,510.0,2,0,1,0,0,3,0,Der Tagesspiegel,10,Frankfurter Rundschau,10,Rheinische Post,7,frozen,,0.88,0.06,0.12,0,
2020-06,2020,6,2020-06,50,43,7,0.86,9,33683,783.326,582,1,0,2,0,0,4,0,"taz, die tageszeitung",10,Rheinische Post,7,Der Tagesspiegel,5,frozen,,0.86,0.06,0.14,0,
2020-07,2020,7,2020-07,50,41,9,0.82,9,32580,794.634,558,6,0,1,0,1,1,0,Rheinische Post,13,"taz, die tageszeitung",11,Der Tagesspiegel,3,frozen,,0.82,0.14,0.18,0,
2020-08,2020,8,2020-08,50,42,8,0.84,10,37103,883.405,534.5,5,0,2,0,0,1,0,Frankfurter Rundschau,8,Rheinische Post,7,Nordwest-Zeitung,6,frozen,,0.84,0.14,0.16,0,
2020-09,2020,9,2020-09,99,82,17,0.828283,10,54832,668.683,589.0,7,0,3,0,0,7,0,Rheinische Post,18,Die Welt,13,"taz, die tageszeitung",12,frozen,,0.828283,0.10101,0.171717,0,
2020-10,2020,10,2020-10,50,44,6,0.88,9,30076,683.545,572.5,2,0,1,0,0,3,0,Frankfurter Rundschau,9,"taz, die tageszeitung",9,Rheinische Post,7,frozen,,0.88,0.06,0.12,0,
2020-11,2020,11,2020-11,48,45,3,0.9375,8,34032,756.267,615,0,0,2,0,0,1,0,"taz, die tageszeitung",11,Frankfurter Rundschau,9,Die Welt,7,frozen,,0.9375,0.041667,0.0625,0,
2020-12,2020,12,2020-12,50,43,7,0.86,10,25584,594.977,471,1,0,1,0,0,5,0,"taz, die tageszeitung",11,Frankfurter Rundschau,6,Südwest Presse,6,frozen,,0.86,0.04,0.14,0,
2021-01,2021,1,2021-01,50,43,7,0.86,8,35124,816.837,687,2,0,3,0,0,2,0,Der Tagesspiegel,9,Rheinische Post,9,Frankfurter Rundschau,8,frozen,,0.86,0.1,0.14,0,
2021-02,2021,2,2021-02,44,39,5,0.886364,10,24684,632.923,476,1,0,0,0,0,4,0,Frankfurter Rundschau,7,"taz, die tageszeitung",7,Die Welt,5,frozen,,0.886364,0.022727,0.113636,0,
2021-03,2021,3,2021-03,50,44,6,0.88,9,37113,843.477,906.5,1,0,3,0,0,2,0,Frankfurter Rundschau,10,Die Welt,8,Der Tagesspiegel,7,frozen,,0.88,0.08,0.12,0,
2021-04,2021,4,2021-04,50,42,8,0.84,10,28944,689.143,666.0,5,0,2,0,0,1,0,Rheinische Post,14,Frankfurter Rundschau,8,"taz, die tageszeitung",5,frozen,,0.84,0.14,0.16,0,
2021-05,2021,5,2021-05,55,41,14,0.745455,10,38826,946.976,658,5,0,4,0,1,4,0,Rheinische Post,8,Die Welt,6,Frankfurter Rundschau,6,frozen,,0.745455,0.163636,0.254545,0,
2021-06,2021,6,2021-06,50,42,8,0.84,9,29067,692.071,564.5,3,0,3,0,0,2,0,Frankfurter Rundschau,10,Rheinische Post,10,"taz, die tageszeitung",7,frozen,,0.84,0.12,0.16,0,
2021-07,2021,7,2021-07,50,43,7,0.86,8,34910,811.86,698,4,0,1,0,0,2,0,Die Welt,9,Rheinische Post,7,"taz, die tageszeitung",7,frozen,,0.86,0.1,0.14,0,
2021-08,2021,8,2021-08,50,42,8,0.84,10,27359,651.405,547.5,3,1,2,0,0,2,0,"taz, die tageszeitung",9,Rheinische Post,7,Der Tagesspiegel,6,frozen,,0.84,0.12,0.16,0,
