batch_id,month_folder,archive_found,archive_name,pdf_count,processed,kept_count,dropped_count,review_count,status,error_message,run_timestamp
2024-01,2024-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-02,2024-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-03,2024-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-04,2024-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-05,2024-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-06,2024-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-07,2024-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-08,2024-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-09,2024-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-10,2024-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-11,2024-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2024-12,2024-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-01,2025-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-02,2025-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-03,2025-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-04,2025-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-05,2025-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-06,2025-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-07,2025-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-08,2025-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-09,2025-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-10,2025-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-11,2025-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2025-12,2025-12,yes,2025-12(113).ZIP,113,no,88,25,0,skipped_existing,,2026-04-28T01:20:32
