month_folder,status,processed,pdf_count,keep,drop,review,run_timestamp,download_status_tracker,log_line
2018-08,skipped_existing,no,98,82,16,0,2026-04-29T20:10:58,done,[2018-08] status=skipped_existing processed=no pdf_count=98 keep=82 drop=16 review=0
2018-09,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2018-09] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2018-10,skipped_existing,no,94,64,30,0,2026-04-29T20:10:58,done,[2018-10] status=skipped_existing processed=no pdf_count=94 keep=64 drop=30 review=0
2018-11,skipped_existing,no,90,40,50,0,2026-04-29T20:10:58,done,[2018-11] status=skipped_existing processed=no pdf_count=90 keep=40 drop=50 review=0
2018-12,skipped_existing,no,98,48,50,0,2026-04-29T20:10:58,done,[2018-12] status=skipped_existing processed=no pdf_count=98 keep=48 drop=50 review=0
2019-01,skipped_existing,no,150,42,108,0,2026-04-29T20:10:58,done,[2019-01] status=skipped_existing processed=no pdf_count=150 keep=42 drop=108 review=0
2019-02,skipped_existing,no,95,75,20,0,2026-04-29T20:10:58,done,[2019-02] status=skipped_existing processed=no pdf_count=95 keep=75 drop=20 review=0
2019-03,skipped_existing,no,99,76,23,0,2026-04-29T20:10:58,done,[2019-03] status=skipped_existing processed=no pdf_count=99 keep=76 drop=23 review=0
2019-04,skipped_existing,no,94,78,16,0,2026-04-29T20:10:58,done,[2019-04] status=skipped_existing processed=no pdf_count=94 keep=78 drop=16 review=0
2019-05,skipped_existing,no,64,54,10,0,2026-04-29T20:10:58,done,[2019-05] status=skipped_existing processed=no pdf_count=64 keep=54 drop=10 review=0
2019-06,skipped_existing,no,73,57,16,0,2026-04-29T20:10:58,done,[2019-06] status=skipped_existing processed=no pdf_count=73 keep=57 drop=16 review=0
2019-07,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2019-07] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2019-08,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2019-08] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2019-09,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2019-09] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2019-10,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2019-10] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2019-11,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2019-11] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2019-12,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2019-12] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2020-01,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2020-01] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2020-02,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2020-02] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2020-03,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2020-03] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2020-04,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2020-04] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2020-05,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2020-05] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2020-06,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2020-06] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2020-07,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2020-07] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2020-08,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2020-08] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2020-09,skipped_existing,no,99,82,17,0,2026-04-29T20:10:58,done,[2020-09] status=skipped_existing processed=no pdf_count=99 keep=82 drop=17 review=0
2020-10,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2020-10] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2020-11,skipped_existing,no,48,45,3,0,2026-04-29T20:10:58,done,[2020-11] status=skipped_existing processed=no pdf_count=48 keep=45 drop=3 review=0
2020-12,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2020-12] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2021-01,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2021-01] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2021-02,skipped_existing,no,44,39,5,0,2026-04-29T20:10:58,done,[2021-02] status=skipped_existing processed=no pdf_count=44 keep=39 drop=5 review=0
2021-03,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2021-03] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2021-04,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2021-04] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2021-05,skipped_existing,no,55,41,14,0,2026-04-29T20:10:58,done,[2021-05] status=skipped_existing processed=no pdf_count=55 keep=41 drop=14 review=0
2021-06,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2021-06] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2021-07,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2021-07] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2021-08,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2021-08] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2021-09,skipped_existing,no,75,63,12,0,2026-04-29T20:10:58,done,[2021-09] status=skipped_existing processed=no pdf_count=75 keep=63 drop=12 review=0
2021-10,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2021-10] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2021-11,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2021-11] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2021-12,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2021-12] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2022-01,skipped_existing,no,58,44,14,0,2026-04-29T20:10:58,done,[2022-01] status=skipped_existing processed=no pdf_count=58 keep=44 drop=14 review=0
2022-02,skipped_existing,no,50,42,8,0,2026-04-29T20:10:58,done,[2022-02] status=skipped_existing processed=no pdf_count=50 keep=42 drop=8 review=0
2022-03,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2022-03] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2022-04,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2022-04] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2022-05,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2022-05] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2022-06,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2022-06] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
