month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2016-04,2016-04,2016,4,383,383,5.950642552587727,1.3378057146201026,50,0.13054830287206268,False,False,48,48,0.12532637075718014,3.8918202981106265,-0.4394395655985633
2016-05,2016-05,2016,5,260,260,5.564520407322694,0.5270348592418602,50,0.19230769230769232,False,False,47,47,0.18076923076923077,3.871201010907891,-0.4928294193628747
2016-06,2016-06,2016,6,269,269,5.598421958998375,0.5863595559768536,50,0.18587360594795538,False,False,44,44,0.16356877323420074,3.8066624897703196,-0.652998980655809
2016-07,2016-07,2016,7,334,334,5.814130531825066,1.0148156990629165,50,0.1497005988023952,False,False,46,46,0.1377245508982036,3.8501476017100584,-0.5462192731271861
2016-08,2016-08,2016,8,338,338,5.82600010738045,1.0411822309451357,50,0.14792899408284024,False,False,44,44,0.1301775147928994,3.8066624897703196,-0.652998980655809
2016-09,2016-09,2016,9,381,381,5.945420608606575,1.3246224486789928,50,0.13123359580052493,False,False,46,46,0.12073490813648294,3.8501476017100584,-0.5462192731271861
2016-10,2016-10,2016,10,299,299,5.703782474656201,0.784108545093498,50,0.16722408026755853,False,False,45,45,0.1505016722408027,3.828641396489095,-0.5996091268914975
2016-11,2016-11,2016,11,243,243,5.497168225293202,0.41497709874242844,50,0.205761316872428,False,False,49,49,0.20164609053497942,3.912023005428146,-0.3860497118342519
2016-12,2016-12,2016,12,326,326,5.7899601708972535,0.962082635298478,50,0.15337423312883436,False,False,47,47,0.1441717791411043,3.871201010907891,-0.4928294193628747
2017-01,2017-01,2017,1,255,255,5.545177444479562,0.4940766943890862,50,0.19607843137254902,False,False,43,43,0.16862745098039217,3.784189633918261,-0.7063888344201203
2017-02,2017-02,2017,2,239,239,5.480638923341991,0.3886105668602092,50,0.20920502092050208,False,False,45,45,0.18828451882845187,3.828641396489095,-0.5996091268914975
2017-03,2017-03,2017,3,239,239,5.480638923341991,0.3886105668602092,50,0.20920502092050208,False,False,45,45,0.18828451882845187,3.828641396489095,-0.5996091268914975
2017-04,2017-04,2017,4,179,179,5.19295685089021,-0.006887411373079715,50,0.27932960893854747,False,False,42,42,0.2346368715083799,3.7612001156935624,-0.7597786881844317
2017-05,2017-05,2017,5,171,171,5.147494476813453,-0.05962047513751823,50,0.29239766081871343,False,False,46,46,0.26900584795321636,3.8501476017100584,-0.5462192731271861
2017-06,2017-06,2017,6,203,203,5.318119993844216,0.15131177992023584,50,0.24630541871921183,False,False,41,41,0.2019704433497537,3.7376696182833684,-0.8131685419487432
2017-07,2017-07,2017,7,188,188,5.241747015059643,0.05243728536191362,50,0.26595744680851063,False,False,48,48,0.2553191489361702,3.8918202981106265,-0.4394395655985633
2017-08,2017-08,2017,8,230,230,5.442417710521793,0.3292858701252158,50,0.21739130434782608,False,False,45,45,0.1956521739130435,3.828641396489095,-0.5996091268914975
2017-09,2017-09,2017,9,183,183,5.214935757608986,0.019479120509139542,50,0.273224043715847,False,False,45,45,0.2459016393442623,3.828641396489095,-0.5996091268914975
2017-10,2017-10,2017,10,142,142,4.962844630259907,-0.25077783128360787,50,0.352112676056338,False,False,43,43,0.3028169014084507,3.784189633918261,-0.7063888344201203
2017-11,2017-11,2017,11,164,164,5.10594547390058,-0.10576190593140193,50,0.3048780487804878,False,False,45,45,0.27439024390243905,3.828641396489095,-0.5996091268914975
2017-12,2017-12,2017,12,159,159,5.075173815233827,-0.138720070784176,50,0.31446540880503143,False,False,45,45,0.2830188679245283,3.828641396489095,-0.5996091268914975
2018-01,2018-01,2018,1,226,226,5.424950017481403,0.30291933824299655,50,0.22123893805309736,False,False,45,45,0.19911504424778761,3.828641396489095,-0.5996091268914975
2018-02,2018-02,2018,2,124,124,4.8283137373023015,-0.3694272247535945,50,0.4032258064516129,False,False,44,44,0.3548387096774194,3.8066624897703196,-0.652998980655809
2018-03,2018-03,2018,3,160,160,5.081404364984463,-0.13212843781362119,97,0.60625,False,True,81,81,0.50625,4.406719247264253,1.3224256086237132
